problemId,balloonColor,hexColor
A,red, #FF0000
B,blue, #0000FF
C,white, #7AC5CD
D,green, #00FF00
E,yellow, #FFFF00
F,gray, #B9D3EE
G,purple, #A020F0
H,orange, #FFA500
I,pink, #CD919E
J,black, #000000
K,cyan, #008B8B
L,magenta, #FF00FF
